NOME_ALUNO,ENTREGAS_NO_PRAZO,TOTAL_ENTREGAS,TAXA_ENGAJAMENTO
aluno 01,16,16,94.11764705882352
aluno 02,17,17,100.0
aluno 03,17,17,100.0
aluno 04,16,16,94.11764705882352
aluno 05,17,17,100.0
aluno 06,16,17,94.11764705882352
aluno 07,17,17,100.0
aluno 08,12,17,70.58823529411765
aluno 09,13,17,76.47058823529412
aluno 10,16,16,94.11764705882352
aluno 11,17,17,100.0
aluno 12,15,15,88.23529411764706
aluno 13,17,17,100.0
aluno 14,17,17,100.0
aluno 16,7,7,41.17647058823529
aluno 17,17,17,100.0
aluno 18,16,16,94.11764705882352
aluno 19,11,17,64.70588235294117
aluno 20,17,17,100.0
aluno 21,16,17,94.11764705882352
aluno 22,16,16,94.11764705882352
aluno 23,16,17,94.11764705882352
aluno 24,17,17,100.0
aluno 25,15,15,88.23529411764706
aluno 26,12,15,70.58823529411765
aluno 27,16,17,94.11764705882352
aluno 28,11,12,64.70588235294117
aluno 29,17,17,100.0
aluno 30,17,17,100.0
aluno 31,16,17,94.11764705882352
aluno 32,5,6,29.411764705882355
aluno 33,1,12,5.88235294117647
aluno 34,17,17,100.0
aluno 35,5,5,29.411764705882355
aluno 36,16,17,94.11764705882352
aluno 37,17,17,100.0
aluno 38,16,16,94.11764705882352
